student_id,attendance,previous_percentage,assignment_score,quiz_score,internal_marks,study_hours,completed_assignments,completed_quizzes,performance_category
STU1075,71.5,71.3,52.0,53.3,56.8,11.8,6,3,At Risk
STU1076,70.3,61.1,64.1,49.5,63.8,20.0,7,3,Average Performance
STU1077,79.4,81.5,64.3,56.8,63.6,15.8,7,3,Average Performance
STU1078,87.5,97.3,98.2,93.1,96.0,27.6,9,5,High Performance
STU1079,65.9,61.1,46.3,38.5,51.3,4.2,6,3,At Risk
STU1080,64.9,64.8,48.7,44.1,46.8,13.8,6,2,At Risk
STU1081,70.6,86.4,66.3,72.0,73.7,17.0,7,4,Average Performance
STU1082,87.2,83.2,63.9,73.4,64.6,16.4,7,4,Average Performance
STU1083,62.8,69.0,58.1,35.6,47.4,11.9,6,1,At Risk
STU1084,70.8,69.7,61.0,65.5,56.9,6.4,8,4,Average Performance
STU1085,79.7,77.4,72.1,69.5,71.3,19.1,8,3,Average Performance
STU1086,76.5,75.0,67.2,66.5,69.2,13.0,7,3,Average Performance
STU1087,80.3,71.3,66.6,50.7,63.5,10.9,8,2,Average Performance
STU1088,89.1,80.9,75.8,73.0,77.3,14.2,7,3,Average Performance
STU1089,62.7,66.4,67.4,60.9,62.4,19.8,8,2,Average Performance
STU1090,81.4,73.2,66.9,57.5,64.1,13.0,8,3,Average Performance
STU1091,59.7,61.3,56.2,79.5,61.6,19.9,6,5,Average Performance
STU1092,79.0,73.8,64.1,57.2,69.0,13.0,6,3,Average Performance
STU1093,81.3,74.3,72.2,67.7,69.4,9.1,6,4,Average Performance
STU1094,75.6,82.9,80.3,71.5,75.4,14.8,9,4,Average Performance
STU1095,77.3,77.2,82.3,74.4,84.6,23.2,9,4,High Performance
STU1096,74.4,96.5,68.9,63.9,65.4,18.2,8,4,Average Performance
STU1097,62.9,71.0,55.9,42.9,48.3,9.1,6,2,At Risk
STU1098,71.0,66.6,53.7,63.8,57.8,15.8,5,5,Average Performance
STU1099,75.9,72.3,53.7,69.3,63.3,16.4,6,5,Average Performance
STU1100,85.0,74.1,68.4,63.1,70.3,21.5,8,2,High Performance
STU1101,96.4,83.0,88.3,85.5,90.0,27.7,8,4,High Performance
STU1102,69.1,65.7,66.9,45.8,70.7,13.5,6,3,At Risk
STU1103,68.2,71.6,60.8,69.4,56.5,8.3,6,3,Average Performance
STU1104,65.8,72.5,63.3,70.7,71.5,14.8,8,4,Average Performance
STU1105,67.7,77.4,64.2,55.4,60.6,16.0,7,3,Average Performance
STU1106,77.7,76.9,59.9,70.3,64.0,10.9,5,5,At Risk
STU1107,87.2,84.3,67.3,76.6,70.5,13.4,6,5,High Performance
STU1108,69.2,72.4,59.6,65.7,62.6,18.2,7,4,Average Performance
STU1109,63.0,68.9,55.3,60.4,66.2,12.1,7,4,At Risk
STU1110,59.5,62.8,41.3,48.5,51.5,9.4,3,4,At Risk
STU1111,90.6,86.5,88.8,80.1,85.7,19.3,9,4,High Performance
STU1112,65.9,66.9,49.7,54.3,62.2,13.3,6,3,At Risk
STU1113,92.0,97.5,88.7,80.3,79.8,18.8,10,5,High Performance
STU1114,85.3,89.2,86.1,88.2,81.9,25.5,9,5,High Performance
STU1115,78.5,81.8,77.7,75.3,67.9,21.8,8,4,Average Performance
STU1116,68.2,60.8,59.2,49.9,53.9,4.3,6,2,At Risk
STU1117,67.8,61.7,54.4,60.5,60.3,9.2,4,3,Average Performance
STU1118,73.8,73.6,67.5,71.5,71.4,10.7,8,4,Average Performance
STU1119,68.7,68.7,52.8,53.9,57.9,11.0,7,3,At Risk
STU1120,73.3,68.5,67.1,76.5,66.0,15.2,8,5,Average Performance
STU1121,56.7,58.9,62.1,30.0,51.9,3.2,9,1,At Risk
STU1122,81.9,75.0,78.6,76.8,80.0,16.2,6,5,Average Performance
STU1123,86.0,70.8,77.6,68.6,76.4,12.7,9,5,High Performance
STU1124,74.9,74.9,66.4,75.4,62.7,15.4,7,5,Average Performance
STU1125,89.6,94.4,93.3,90.8,93.0,23.7,10,4,High Performance
STU1126,74.1,68.0,60.1,65.7,59.4,11.0,7,4,Average Performance
STU1127,88.9,85.8,87.4,96.9,90.1,23.9,9,5,High Performance
STU1128,71.6,59.4,60.8,47.2,58.3,9.3,5,3,At Risk
STU1129,64.1,60.0,48.3,52.0,52.9,9.2,6,3,At Risk
STU1130,84.7,88.6,84.8,83.5,80.8,27.4,7,5,High Performance
STU1131,72.5,74.4,61.1,46.4,57.7,19.2,7,1,Average Performance
STU1132,70.2,77.2,81.1,77.3,72.7,13.0,8,5,Average Performance
STU1133,77.2,78.2,68.4,75.0,79.6,23.4,7,4,Average Performance
STU1134,78.2,86.7,82.7,82.0,82.1,23.9,8,4,High Performance
STU1135,71.3,66.3,62.2,73.0,72.1,9.5,8,5,Average Performance
STU1136,88.1,75.1,62.7,61.0,63.9,20.6,7,3,Average Performance
STU1137,91.2,84.5,73.9,70.7,71.3,23.5,8,4,High Performance
STU1138,62.5,62.8,49.6,44.8,46.4,4.4,4,4,At Risk
STU1139,80.8,78.6,68.6,50.1,67.8,13.7,8,3,Average Performance
STU1140,72.4,76.9,73.1,77.8,74.6,23.8,9,4,Average Performance
STU1141,80.4,84.7,83.2,80.7,84.7,21.0,10,4,High Performance
STU1142,76.7,86.7,75.7,81.4,77.4,21.2,8,5,High Performance
STU1143,75.9,77.8,79.9,61.2,64.9,19.5,9,4,Average Performance
STU1144,82.5,90.3,85.7,68.5,76.4,21.5,9,3,High Performance
STU1145,68.1,77.4,66.1,45.3,54.8,9.0,8,3,At Risk
STU1146,77.8,98.0,96.1,91.5,92.5,26.8,9,4,High Performance
STU1147,88.7,85.8,82.7,71.2,74.0,24.9,9,4,High Performance
STU1148,66.7,76.1,64.0,73.7,73.1,14.4,7,4,Average Performance
STU1149,74.4,80.0,57.5,71.6,66.0,15.0,7,4,Average Performance
STU1150,87.6,77.4,66.2,50.0,61.9,10.1,7,2,Average Performance
STU1151,74.6,77.7,73.3,71.7,76.9,20.5,8,5,Average Performance
STU1152,69.9,82.8,87.2,86.1,89.7,22.9,9,5,High Performance
STU1153,88.2,91.1,92.2,84.3,88.5,22.5,10,5,High Performance
STU1154,79.1,66.1,64.4,66.1,63.6,19.5,9,4,Average Performance
STU1155,81.3,68.9,65.9,59.5,56.8,12.4,8,4,Average Performance
STU1156,62.8,75.6,69.0,52.3,59.9,16.2,8,4,Average Performance
STU1157,72.1,58.2,66.9,48.6,57.8,9.4,6,4,At Risk
STU1158,77.6,88.0,76.6,75.0,77.1,18.4,7,4,High Performance
STU1159,72.1,78.3,71.8,56.9,64.7,14.4,8,3,Average Performance
STU1160,87.9,69.8,67.7,66.2,70.5,15.7,8,5,High Performance
STU1161,64.3,76.0,72.9,70.5,69.0,13.9,9,4,Average Performance
STU1162,72.7,71.2,67.3,71.1,68.8,13.9,6,4,Average Performance
STU1163,70.8,74.1,51.7,47.7,59.0,16.3,6,2,At Risk
STU1164,96.4,94.8,82.3,81.5,85.5,21.0,8,4,High Performance
STU1165,70.2,62.6,55.8,65.4,62.2,7.3,6,4,Average Performance
STU1166,81.7,82.8,79.3,65.0,71.6,25.3,9,4,Average Performance
STU1167,70.1,71.5,71.3,61.4,64.9,20.5,7,3,Average Performance
STU1168,80.3,79.1,70.6,75.2,70.7,12.6,8,4,Average Performance
STU1169,86.4,84.8,73.8,91.8,82.1,24.9,9,5,High Performance
STU1170,74.1,79.1,61.2,51.6,62.8,12.0,7,4,Average Performance
STU1171,64.4,71.8,58.7,43.6,54.0,13.4,5,2,Average Performance
STU1172,77.8,71.8,70.5,63.3,63.4,17.5,7,4,Average Performance
STU1173,64.7,58.2,47.4,47.4,58.7,10.7,3,2,At Risk
STU1174,74.2,65.5,56.5,58.1,60.7,9.6,6,3,At Risk
STU1175,92.2,94.7,80.1,100.0,85.1,21.1,8,5,High Performance
STU1176,71.7,83.5,84.9,72.7,77.7,15.7,10,4,High Performance
STU1177,75.6,74.3,56.9,46.4,56.1,9.7,7,2,Average Performance
STU1178,80.3,89.7,94.0,86.1,95.3,20.6,9,4,High Performance
STU1179,65.3,74.1,67.6,58.7,59.7,10.7,8,3,Average Performance
STU1180,77.8,83.1,70.3,68.3,76.4,21.7,7,2,High Performance
STU1181,83.8,68.6,70.1,75.1,78.4,22.3,9,5,High Performance
STU1182,70.5,82.3,80.3,75.1,76.5,17.5,9,5,High Performance
STU1183,99.0,87.4,75.6,67.4,73.1,20.2,8,4,High Performance
STU1184,82.2,75.6,79.1,59.7,66.6,18.5,9,4,Average Performance
STU1185,70.8,72.0,57.3,54.6,58.3,15.5,5,2,Average Performance
STU1186,65.9,64.6,50.1,66.1,59.4,12.5,5,4,At Risk
STU1187,80.7,73.8,80.4,88.3,84.8,20.8,7,5,High Performance
STU1188,63.9,60.2,49.6,54.0,57.7,11.7,5,3,At Risk
STU1189,79.5,77.2,68.7,80.5,71.3,11.4,6,5,Average Performance
STU1190,79.4,72.8,70.7,65.7,62.1,20.1,9,4,Average Performance
STU1191,75.7,74.0,69.3,55.6,65.5,19.7,7,3,Average Performance
STU1192,75.5,72.0,73.3,69.2,73.5,13.8,8,3,Average Performance
STU1193,72.2,78.7,56.3,68.6,65.9,15.4,7,4,Average Performance
STU1194,64.1,63.8,59.6,53.8,57.0,14.5,4,3,Average Performance
STU1195,85.5,86.0,80.1,74.2,77.6,16.9,8,4,High Performance
STU1196,76.6,80.7,57.3,62.5,69.2,19.5,5,3,Average Performance
STU1197,63.5,80.7,70.4,82.2,78.8,28.3,8,4,High Performance
STU1198,81.1,72.1,67.9,78.0,72.1,13.9,6,4,Average Performance
STU1199,80.1,68.5,79.4,69.5,73.3,12.3,10,3,Average Performance
STU1200,72.2,65.0,69.4,65.0,67.3,16.1,8,3,Average Performance
STU1201,69.7,65.1,65.7,55.8,69.9,17.7,7,2,Average Performance
STU1202,97.3,97.5,93.1,87.3,89.4,22.1,10,5,High Performance
STU1203,97.6,92.5,96.3,83.1,90.2,29.4,9,3,High Performance
STU1204,82.8,89.4,90.3,78.3,83.1,16.3,10,5,High Performance
STU1205,80.7,67.1,67.9,82.7,80.0,20.3,8,5,High Performance
STU1206,69.6,69.4,77.3,55.7,76.4,13.9,8,3,Average Performance
STU1207,54.8,67.5,64.9,38.4,55.8,17.7,7,1,Average Performance
STU1208,76.0,81.2,93.0,67.9,80.1,26.2,9,4,High Performance
STU1209,75.2,69.3,57.3,61.0,61.7,10.8,7,3,Average Performance
STU1210,69.1,66.2,49.4,45.3,41.6,8.8,4,2,At Risk
STU1211,80.7,85.8,59.3,55.4,65.8,20.7,7,3,Average Performance
STU1212,96.0,90.5,91.5,93.7,92.7,21.9,9,5,High Performance
STU1213,67.3,64.5,52.3,48.7,55.3,11.1,6,3,At Risk
STU1214,73.0,77.8,75.5,69.5,70.3,17.0,6,3,Average Performance
STU1215,77.5,86.8,71.0,55.2,64.4,8.4,10,2,Average Performance
STU1216,83.9,68.6,68.2,74.7,71.6,17.9,9,4,Average Performance
STU1217,86.5,85.4,77.1,69.6,79.6,16.5,9,4,High Performance
STU1218,76.9,69.2,52.8,59.1,57.7,11.8,7,4,At Risk
STU1219,76.5,75.1,68.7,57.1,73.3,20.7,7,3,Average Performance
STU1220,83.1,77.7,62.4,79.4,75.2,13.7,7,4,High Performance
STU1221,75.0,68.4,61.8,75.7,62.7,16.5,7,5,Average Performance
STU1222,65.6,69.4,46.1,53.7,53.2,10.9,6,4,Average Performance
STU1223,72.3,93.2,65.0,77.2,69.9,16.1,6,4,Average Performance
STU1224,73.6,78.6,78.0,49.0,57.4,19.1,8,3,Average Performance
STU1225,71.9,72.1,70.4,56.6,73.1,18.1,7,3,Average Performance
STU1226,81.6,83.5,72.6,78.8,81.2,23.1,7,5,High Performance
STU1227,81.6,80.2,73.9,67.7,76.0,23.3,7,4,Average Performance
STU1228,69.6,65.3,66.9,57.9,65.9,14.5,7,4,Average Performance
STU1229,74.9,75.1,76.8,72.4,69.1,14.5,9,4,Average Performance
STU1230,55.1,70.1,52.9,53.0,54.1,8.0,7,3,At Risk
STU1231,63.2,55.5,50.0,46.5,54.6,7.0,4,2,At Risk
STU1232,76.0,81.2,57.5,73.2,63.7,28.3,8,4,Average Performance
STU1233,76.0,83.4,69.6,75.8,64.6,23.7,7,4,Average Performance
STU1234,89.3,81.7,82.9,88.2,84.3,15.3,10,5,High Performance
STU1235,91.7,85.4,83.7,79.2,82.0,15.8,8,4,High Performance
STU1236,76.5,94.1,83.5,78.0,82.6,23.0,9,5,High Performance
STU1237,78.2,86.5,75.8,76.2,80.6,21.8,10,3,High Performance
STU1238,67.2,71.8,56.7,65.7,66.2,16.9,6,5,Average Performance
STU1239,65.8,70.2,59.0,46.7,58.7,13.5,5,2,Average Performance
STU1240,89.0,84.5,78.2,81.8,85.6,19.6,8,5,High Performance
STU1241,76.6,75.2,72.4,65.5,64.9,18.6,9,4,Average Performance
STU1242,82.3,73.3,72.9,74.8,78.5,20.4,7,4,High Performance
STU1243,66.3,88.6,67.1,73.6,74.7,8.7,5,4,Average Performance
STU1244,78.0,74.9,64.0,73.9,64.9,14.8,7,5,Average Performance
STU1245,69.9,79.4,71.9,51.9,59.9,13.8,8,2,Average Performance
STU1246,70.8,70.1,76.7,60.4,65.3,14.8,8,4,Average Performance
STU1247,89.7,84.4,78.2,81.3,79.4,33.8,9,3,High Performance
STU1248,80.3,71.2,55.5,62.7,65.3,16.3,7,3,Average Performance
STU1249,72.1,71.9,81.3,90.7,81.2,17.0,9,5,High Performance
STU1250,53.4,82.9,54.7,66.2,59.6,18.3,5,3,Average Performance
STU1251,88.7,81.4,83.3,88.0,83.5,23.6,9,4,High Performance
STU1252,74.2,58.3,50.5,43.1,55.2,12.6,6,3,Average Performance
STU1253,75.9,66.2,60.2,70.1,65.3,15.6,7,5,Average Performance
STU1254,83.2,88.4,84.6,68.7,77.1,27.4,8,3,Average Performance
STU1255,74.4,77.4,76.3,61.3,70.3,12.6,8,3,Average Performance
STU1256,75.5,64.5,58.0,68.9,70.0,16.1,4,5,Average Performance
STU1257,75.6,87.7,69.1,85.6,75.1,15.3,8,5,Average Performance
STU1258,77.8,78.6,64.4,71.0,74.5,18.3,8,4,Average Performance
STU1259,75.8,75.4,48.2,55.0,58.0,11.4,6,3,At Risk
STU1260,78.8,76.0,61.1,74.4,67.8,13.3,7,5,Average Performance
STU1261,99.0,96.8,87.0,79.9,93.5,19.3,9,5,High Performance
STU1262,83.1,91.7,78.1,80.5,75.0,22.6,8,5,High Performance
STU1263,78.0,77.6,74.7,66.4,71.8,22.5,8,3,Average Performance
STU1264,76.8,85.0,69.0,68.7,65.7,12.0,7,4,Average Performance
STU1265,65.9,78.5,65.3,74.3,75.0,17.0,7,4,Average Performance
STU1266,64.7,71.4,62.9,55.4,67.9,10.5,7,4,Average Performance
STU1267,84.6,78.6,88.1,97.8,97.6,16.4,9,5,High Performance
STU1268,64.7,66.9,50.1,49.7,59.3,12.0,6,4,Average Performance
STU1269,89.4,84.4,87.3,78.5,83.6,20.9,9,4,High Performance
STU1270,72.2,81.3,76.8,77.4,75.1,26.8,8,5,High Performance
STU1271,88.1,86.7,67.7,78.2,68.3,20.7,6,4,Average Performance
STU1272,72.6,62.2,71.4,65.0,76.9,9.5,8,4,Average Performance
STU1273,59.8,59.8,62.7,52.0,58.8,7.1,5,4,Average Performance
STU1274,73.6,81.1,70.1,65.4,67.5,20.4,8,3,Average Performance
STU1275,72.7,70.8,69.0,57.9,70.5,23.0,8,3,Average Performance
STU1276,77.9,76.6,58.9,68.9,62.0,8.9,6,3,Average Performance
STU1277,56.4,63.4,51.0,49.0,54.0,2.7,5,2,At Risk
STU1278,78.5,84.2,79.4,81.1,79.8,26.9,8,4,High Performance
STU1279,86.8,87.2,83.8,82.1,87.0,23.7,8,5,High Performance
STU1280,83.5,85.5,86.5,77.8,84.6,20.0,10,3,High Performance
STU1281,73.3,72.6,71.3,69.6,66.4,19.7,7,4,High Performance
STU1282,67.5,73.9,67.7,57.2,64.3,3.5,6,4,Average Performance
STU1283,90.5,85.4,84.9,80.9,87.5,20.7,9,4,High Performance
STU1284,76.7,74.4,69.3,65.0,68.8,17.5,6,4,High Performance
STU1285,81.6,78.4,74.1,71.6,77.8,22.2,8,3,High Performance
STU1286,77.1,70.5,68.4,58.5,61.1,10.7,7,4,Average Performance
STU1287,68.0,74.1,60.5,66.9,64.3,13.7,6,3,Average Performance
STU1288,80.4,76.4,68.3,52.5,62.6,13.8,8,2,Average Performance
STU1289,81.3,75.2,78.2,81.7,83.1,20.2,8,5,High Performance
STU1290,79.0,81.1,61.4,80.2,72.3,13.6,6,5,Average Performance
STU1291,78.6,81.1,76.4,72.0,78.9,17.6,9,4,Average Performance
STU1292,69.1,83.9,84.6,82.2,87.5,16.0,10,4,High Performance
STU1293,75.5,84.3,72.8,66.8,73.9,19.3,8,5,High Performance
STU1294,92.1,83.5,75.0,85.7,82.0,23.4,9,4,High Performance
STU1295,87.9,83.8,85.0,81.0,78.4,18.4,9,5,High Performance
STU1296,81.9,70.2,68.1,65.6,69.0,16.7,6,4,Average Performance
STU1297,95.2,86.7,84.3,85.2,83.3,16.0,10,5,High Performance
STU1298,64.3,66.8,47.0,56.6,53.0,9.9,6,3,At Risk
STU1299,72.2,63.2,65.7,60.4,63.1,14.1,8,4,Average Performance
STU1300,78.8,83.5,74.9,65.1,69.4,29.9,8,3,High Performance
STU1301,88.0,90.4,90.4,88.0,81.4,18.3,10,5,High Performance
STU1302,79.5,76.0,69.1,56.1,63.3,22.3,8,3,Average Performance
STU1303,84.9,82.9,62.7,76.0,72.1,21.3,8,3,Average Performance
STU1304,67.9,70.4,59.8,53.0,53.8,14.4,7,3,At Risk
STU1305,80.6,90.7,76.3,75.3,77.7,26.8,8,3,High Performance
STU1306,80.2,75.2,80.9,79.8,87.4,19.9,9,5,High Performance
STU1307,86.5,83.6,76.8,75.7,81.9,21.2,9,5,High Performance
STU1308,70.2,79.3,76.1,77.1,83.3,17.6,6,5,High Performance
STU1309,67.8,76.3,63.8,73.4,73.6,23.9,7,3,Average Performance
STU1310,73.4,81.5,75.5,68.7,77.5,21.2,7,4,High Performance
STU1311,69.7,88.6,70.9,71.5,69.4,14.5,8,3,Average Performance
STU1312,77.4,80.3,79.5,73.7,74.7,13.2,8,3,Average Performance
STU1313,77.8,81.2,76.6,71.4,63.9,16.9,9,3,Average Performance
STU1314,68.6,71.8,63.7,61.5,69.2,11.3,5,4,Average Performance
STU1315,78.6,66.3,60.9,51.1,65.5,13.6,7,3,Average Performance
STU1316,68.0,56.9,44.7,55.0,51.5,17.1,4,4,At Risk
STU1317,70.2,64.8,68.5,62.3,64.4,11.3,7,4,Average Performance
STU1318,78.3,67.6,66.5,75.6,68.4,15.8,7,5,Average Performance
STU1319,73.8,89.2,79.3,54.8,72.2,18.9,9,3,Average Performance
STU1320,71.6,64.8,59.3,58.0,64.2,15.2,5,4,Average Performance
STU1321,68.4,67.2,59.3,62.7,55.5,4.4,8,4,Average Performance
STU1322,76.9,77.4,71.2,58.8,68.3,12.8,8,3,Average Performance
STU1323,62.7,63.5,59.2,69.7,63.9,14.3,7,4,Average Performance
STU1324,59.0,64.5,58.0,58.6,60.9,17.9,6,3,Average Performance
STU1325,76.4,71.8,64.6,66.9,68.5,12.6,7,3,Average Performance
STU1326,72.6,75.5,52.8,56.7,57.8,6.5,6,3,At Risk
STU1327,79.1,87.0,78.0,83.5,81.1,22.8,9,4,High Performance
STU1328,61.4,67.8,69.0,73.3,68.0,9.8,8,5,Average Performance
STU1329,82.9,76.6,78.2,77.2,80.5,11.9,9,4,High Performance
STU1330,51.6,60.7,44.3,40.4,47.7,6.4,4,3,At Risk
STU1331,85.7,76.8,72.1,61.7,69.8,15.7,8,3,Average Performance
STU1332,80.1,80.4,75.4,77.0,73.6,18.4,7,4,High Performance
STU1333,61.7,58.1,56.5,49.1,51.6,2.0,6,3,At Risk
STU1334,72.8,69.4,69.0,66.4,72.8,19.6,8,3,Average Performance
STU1335,87.3,84.1,76.4,72.1,76.9,25.1,7,4,High Performance
STU1336,79.4,80.3,80.0,76.5,81.8,22.1,7,4,High Performance
STU1337,62.2,75.9,47.4,39.0,55.2,6.3,5,3,At Risk
STU1338,73.7,73.3,73.8,69.7,75.7,14.6,7,3,Average Performance
STU1339,68.5,67.5,56.3,64.5,64.3,15.9,6,4,Average Performance
STU1340,68.7,63.6,63.3,57.2,58.4,13.7,6,4,Average Performance
STU1341,66.0,71.7,60.2,60.1,51.8,16.2,7,4,At Risk
STU1342,72.2,82.0,64.9,68.0,67.2,12.6,7,3,Average Performance
STU1343,71.5,74.5,60.1,53.6,61.1,17.5,7,4,Average Performance
STU1344,58.2,65.7,66.5,71.1,71.1,17.3,8,5,Average Performance
STU1345,65.4,70.7,57.1,58.7,58.9,18.2,8,4,Average Performance
STU1346,74.0,52.6,45.3,39.5,45.1,12.0,5,2,At Risk
STU1347,82.2,75.3,68.9,81.0,68.0,20.4,7,4,Average Performance
STU1348,78.0,76.8,77.8,52.6,64.7,17.8,8,2,Average Performance
STU1349,82.7,83.9,79.9,82.3,83.6,25.9,8,4,High Performance
STU1350,61.7,65.1,51.6,56.3,62.0,11.8,5,4,Average Performance
STU1351,72.9,66.2,57.1,64.9,62.3,10.3,7,3,Average Performance
STU1352,74.1,79.8,65.3,64.4,70.6,24.5,6,3,High Performance
STU1353,89.3,82.6,91.7,76.9,87.2,22.3,10,5,High Performance
STU1354,93.0,89.4,82.2,82.1,80.7,20.4,9,3,High Performance
STU1355,64.2,60.4,56.9,45.1,54.0,7.5,5,2,At Risk
STU1356,84.9,84.4,75.7,71.5,72.8,20.5,8,5,High Performance
STU1357,79.4,83.5,74.2,63.3,74.9,19.9,8,3,Average Performance
STU1358,91.7,89.6,84.1,83.5,85.3,22.5,7,4,High Performance
STU1359,67.4,66.2,63.8,61.6,63.2,12.4,7,4,Average Performance
